GO,Cluster,Function
GO:0046479,11,P:glycosphingolipid catabolic process
GO:1903903,23,P:regulation of establishment of T cell polarity
GO:1903906,49,P:regulation of plasma membrane raft polarization
GO:1903909,3,P:regulation of receptor clustering
GO:0090230,43,P:regulation of centromere complex assembly
GO:0007344,23,P:pronuclear fusion
GO:0014038,30,P:regulation of Schwann cell differentiation
GO:0045113,17,P:regulation of integrin biosynthetic process
GO:0065005,43,P:protein-lipid complex assembly
GO:0060735,23,P:regulation of eIF2 alpha phosphorylation by dsRNA
GO:0060699,23,P:regulation of endoribonuclease activity
GO:1902629,12,P:regulation of mRNA stability involved in cellular response to UV
GO:0085017,23,P:entry into host cell by a symbiont-containing vacuole
GO:0021683,23,P:cerebellar granular layer morphogenesis
GO:0042628,23,P:mating plug formation
GO:0061108,23,P:seminal vesicle epithelium development
GO:0042745,23,P:circadian sleep/wake cycle
GO:0006585,17,P:dopamine biosynthetic process from tyrosine
GO:0016137,4,P:glycoside metabolic process
GO:0042214,4,P:terpene metabolic process
GO:1903060,27,P:negative regulation of protein lipidation
GO:0045105,23,P:intermediate filament polymerization or depolymerization
GO:1903935,23,P:response to sodium arsenite
GO:1902905,42,P:positive regulation of supramolecular fiber organization
GO:1905597,3,P:positive regulation of low-density lipoprotein particle receptor binding
GO:0018153,23,P:isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine
GO:1905151,39,P:negative regulation of voltage-gated sodium channel activity
GO:1905572,23,P:ganglioside GM1 transport to membrane
GO:1903771,42,P:positive regulation of beta-galactosidase activity
GO:0008049,23,P:male courtship behavior
GO:0039654,23,P:fusion of virus membrane with host endosome membrane
GO:1901136,11,P:carbohydrate derivative catabolic process
GO:0006168,23,P:adenine salvage
GO:0140212,23,P:regulation of long-chain fatty acid import into cell
GO:0019244,17,P:lactate biosynthetic process from pyruvate
GO:0006258,11,P:UDP-glucose catabolic process
GO:0046720,23,P:citric acid secretion
GO:0097709,23,P:connective tissue replacement
GO:0002251,35,P:organ or tissue specific immune response
GO:0021812,23,P:neuronal-glial interaction involved in cerebral cortex radial glia guided migration
GO:0038159,13,P:C-X-C chemokine receptor CXCR4 signaling pathway
GO:0002762,39,P:negative regulation of myeloid leukocyte differentiation
GO:0006106,4,P:fumarate metabolic process
GO:0000415,38,P:negative regulation of histone H3-K36 methylation
GO:0002581,25,P:negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0015868,23,P:purine ribonucleotide transport
GO:1904828,17,P:positive regulation of hydrogen sulfide biosynthetic process
GO:0003230,23,P:cardiac atrium development
GO:1904193,14,P:negative regulation of cholangiocyte apoptotic process
GO:0016038,23,P:absorption of visible light
GO:0070208,23,P:protein heterotrimerization
GO:0051283,41,P:negative regulation of sequestering of calcium ion
GO:0060032,23,P:notochord regression
GO:0046865,23,P:terpenoid transport
GO:0093001,23,P:glycolysis from storage polysaccharide through glucose-1-phosphate
GO:0061615,23,P:glycolytic process through fructose-6-phosphate
GO:1901389,39,P:negative regulation of transforming growth factor beta activation
GO:0070981,17,P:L-asparagine biosynthetic process
GO:0002812,17,P:biosynthetic process of antibacterial peptides active against Gram-negative bacteria
GO:0070947,23,P:neutrophil-mediated killing of fungus
GO:0098786,23,P:biofilm matrix disassembly
GO:0046164,11,P:alcohol catabolic process
GO:0018160,23,P:peptidyl-pyrromethane cofactor linkage
GO:0061837,23,P:neuropeptide processing
GO:0060936,22,P:cardiac fibroblast cell development
GO:0046880,23,P:regulation of follicle-stimulating hormone secretion
GO:0010920,1,P:negative regulation of inositol phosphate biosynthetic process
GO:0030845,45,P:phospholipase C-inhibiting G protein-coupled receptor signaling pathway
GO:0010925,42,P:positive regulation of inositol-polyphosphate 5-phosphatase activity
GO:0060305,15,P:regulation of cell diameter
GO:0044855,49,P:plasma membrane raft distribution
GO:0050857,13,P:positive regulation of antigen receptor-mediated signaling pathway
GO:0002758,35,P:innate immune response-activating signaling pathway
GO:0043299,23,P:leukocyte degranulation
GO:1904612,23,"P:response to 2,3,7,8-tetrachlorodibenzodioxine"
GO:0061476,23,P:response to anticoagulant
GO:1905217,23,P:response to astaxanthin
GO:0033595,23,P:response to genistein
GO:1904400,23,P:response to Thyroid stimulating hormone
GO:1905225,23,P:response to thyrotropin-releasing hormone
GO:0014062,23,P:regulation of serotonin secretion
GO:0071881,45,P:adenylate cyclase-inhibiting adrenergic receptor signaling pathway
GO:0070473,26,P:negative regulation of uterine smooth muscle contraction
GO:0071882,45,P:phospholipase C-activating adrenergic receptor signaling pathway
GO:0002066,22,P:columnar/cuboidal epithelial cell development
GO:0048757,23,P:pigment granule maturation
GO:1904054,23,P:regulation of cholangiocyte proliferation
GO:0014843,28,P:growth factor dependent regulation of skeletal muscle satellite cell proliferation
GO:0042660,9,P:positive regulation of cell fate specification
GO:1902748,30,P:positive regulation of lens fiber cell differentiation
GO:1902913,30,P:positive regulation of neuroepithelial cell differentiation
GO:1903587,32,P:regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
GO:0002443,23,P:leukocyte mediated immunity
GO:1904705,22,P:regulation of vascular associated smooth muscle cell proliferation
GO:0035732,23,P:nitric oxide storage
GO:0051066,4,P:dihydrobiopterin metabolic process
GO:0032072,23,P:regulation of restriction endodeoxyribonuclease activity
GO:0002840,15,P:regulation of T cell mediated immune response to tumor cell
GO:0035041,23,P:sperm DNA decondensation
GO:1902491,39,P:negative regulation of sperm capacitation
GO:2000359,23,P:regulation of binding of sperm to zona pellucida
GO:1901558,23,P:response to metformin
GO:0003065,42,P:positive regulation of heart rate by epinephrine
GO:0032686,39,P:negative regulation of hepatocyte growth factor production
GO:0009214,11,P:cyclic nucleotide catabolic process
GO:0060611,23,P:mammary gland fat development
GO:1902228,13,P:positive regulation of macrophage colony-stimulating factor signaling pathway
GO:0010743,30,P:regulation of macrophage derived foam cell differentiation
GO:0060981,31,P:cell migration involved in coronary angiogenesis
GO:0072262,32,P:metanephric glomerular mesangial cell proliferation involved in metanephros development
GO:0035789,31,P:metanephric mesenchymal cell migration
GO:0060448,18,P:dichotomous subdivision of terminal units involved in lung branching
GO:0002764,35,P:immune response-regulating signaling pathway
GO:0010813,11,P:neuropeptide catabolic process
GO:1903640,39,P:negative regulation of gastrin-induced gastric acid secretion
GO:0090274,42,P:positive regulation of somatostatin secretion
GO:0070228,14,P:regulation of lymphocyte apoptotic process
GO:2000892,11,P:cellobiose catabolic process
GO:0005990,11,P:lactose catabolic process
GO:1901733,11,P:quercetin catabolic process
GO:1904762,42,P:positive regulation of myofibroblast differentiation
GO:1905051,23,P:regulation of base-excision repair
GO:0010990,43,P:regulation of SMAD protein complex assembly
GO:0071357,12,P:cellular response to type I interferon
GO:1901753,17,P:leukotriene A4 biosynthetic process
GO:2001301,17,P:lipoxin biosynthetic process
GO:0106014,23,P:regulation of inflammatory response to wounding
GO:0090472,23,P:dibasic protein processing
GO:1901394,42,P:positive regulation of transforming growth factor beta1 activation
GO:0097341,23,P:zymogen inhibition
GO:0009132,4,P:nucleoside diphosphate metabolic process
GO:0035038,23,P:female pronucleus assembly
GO:0060386,23,P:synapse assembly involved in innervation
GO:0090133,23,P:mesendoderm migration
GO:0098989,45,P:NMDA selective glutamate receptor signaling pathway
GO:1902380,42,P:positive regulation of endoribonuclease activity
GO:0090151,8,P:establishment of protein localization to mitochondrial membrane
GO:0060873,23,P:anterior semicircular canal development
GO:0060366,23,P:lambdoid suture morphogenesis
GO:0022018,32,P:lateral ganglionic eminence cell proliferation
GO:0060875,23,P:lateral semicircular canal development
GO:0060594,23,P:mammary gland specification
GO:0060367,23,P:sagittal suture morphogenesis
GO:0033382,23,P:maintenance of granzyme B location in T cell secretory granule
GO:0033373,23,P:maintenance of protease location in mast cell secretory granule
GO:0033371,23,P:T cell secretory granule organization
GO:0045091,23,P:regulation of single stranded viral RNA replication via double stranded DNA intermediate
GO:0140543,42,P:positive regulation of piRNA transcription
GO:0000023,4,P:maltose metabolic process
GO:0005985,4,P:sucrose metabolic process
GO:0043181,23,P:vacuolar sequestering
GO:0060520,45,P:activation of prostate induction by androgen receptor signaling pathway
GO:0019102,23,P:male somatic sex determination
GO:0060010,9,P:Sertoli cell fate commitment
GO:0002077,23,P:acrosome matrix dispersal
GO:0006582,4,P:melanin metabolic process
GO:0032848,39,P:negative regulation of cellular pH reduction
GO:0048753,23,P:pigment granule organization
GO:0048685,39,P:negative regulation of collateral sprouting of intact axon in response to injury
GO:0071449,12,P:cellular response to lipid hydroperoxide
GO:0090350,4,P:negative regulation of cellular organofluorine metabolic process
GO:0098930,23,P:axonal transport
GO:1902988,23,P:neurofibrillary tangle assembly
GO:0072386,23,P:plus-end-directed organelle transport along microtubule
GO:1905689,40,P:positive regulation of diacylglycerol kinase activity
GO:0086030,45,P:adenylate cyclase-activating adrenergic receptor signaling pathway involved in cardiac muscle relaxation
GO:0097326,23,P:melanocyte adhesion
GO:1904343,26,P:positive regulation of colon smooth muscle contraction
GO:0120072,26,P:positive regulation of pyloric antrum smooth muscle contraction
GO:0006780,17,P:uroporphyrinogen III biosynthetic process
GO:0048291,23,P:isotype switching to IgG isotypes
GO:0033032,14,P:regulation of myeloid cell apoptotic process
GO:0002434,23,P:immune complex clearance
GO:1902847,23,P:regulation of neuronal signal transduction
GO:0042694,9,P:muscle cell fate specification
GO:1903891,23,P:regulation of ATF6-mediated unfolded protein response
GO:1903897,23,P:regulation of PERK-mediated unfolded protein response
GO:0060904,27,P:regulation of protein folding in endoplasmic reticulum
GO:0097501,23,P:stress response to metal ion
GO:1904764,23,P:chaperone-mediated autophagy translocation complex disassembly
GO:1902904,39,P:negative regulation of supramolecular fiber organization
GO:1904589,27,P:regulation of protein import
GO:1990832,23,P:slow axonal transport
GO:0034373,3,P:intermediate-density lipoprotein particle remodeling
GO:0021660,23,P:rhombomere 3 formation
GO:0021659,23,P:rhombomere 3 structural organization
GO:0021666,23,P:rhombomere 5 formation
GO:0021665,23,P:rhombomere 5 structural organization
GO:1904478,23,P:regulation of intestinal absorption
GO:0006222,17,P:UMP biosynthetic process
GO:0051665,23,P:membrane raft localization
GO:0001928,23,P:regulation of exocyst assembly
GO:0060178,23,P:regulation of exocyst localization
GO:0002692,39,P:negative regulation of cellular extravasation
GO:0060268,39,P:negative regulation of respiratory burst
GO:0051171,4,P:regulation of nitrogen compound metabolic process
GO:1905062,42,P:positive regulation of cardioblast proliferation
GO:2001239,13,P:regulation of extrinsic apoptotic signaling pathway in absence of ligand
GO:0060558,23,P:regulation of calcidiol 1-monooxygenase activity
GO:0090287,12,P:regulation of cellular response to growth factor stimulus
GO:0090257,24,P:regulation of muscle system process
GO:0009152,17,P:purine ribonucleotide biosynthetic process
GO:0009070,17,P:serine family amino acid biosynthetic process
GO:0072677,23,P:eosinophil migration
GO:0043603,4,P:amide metabolic process
GO:0019627,4,P:urea metabolic process
GO:0046016,21,P:positive regulation of transcription by glucose
GO:0032077,42,P:positive regulation of deoxyribonuclease activity
GO:0031990,23,P:mRNA export from nucleus in response to heat stress
GO:0010965,19,P:regulation of mitotic sister chromatid separation
GO:0032078,39,P:negative regulation of endodeoxyribonuclease activity
GO:0051042,41,P:negative regulation of calcium-independent cell-cell adhesion
GO:0060804,13,P:positive regulation of Wnt signaling pathway by BMP signaling pathway
GO:0071893,13,P:BMP signaling pathway involved in nephric duct formation
GO:0061151,13,P:BMP signaling pathway involved in renal system segmentation
GO:0061149,13,P:BMP signaling pathway involved in ureter morphogenesis
GO:0060433,23,P:bronchus development
GO:0060503,18,P:bud dilation involved in lung branching
GO:0048392,30,P:intermediate mesodermal cell differentiation
GO:0060592,23,P:mammary gland formation
GO:0072097,13,P:negative regulation of branch elongation involved in ureteric bud branching by BMP signaling pathway
GO:0090194,39,P:negative regulation of glomerulus development
GO:0072200,32,P:negative regulation of mesenchymal cell proliferation involved in ureter development
